-1 0 0 0 0 0 Me
-2 0 0 240 0 0
-3 0 0 6 0 0
-4 0 0 1 0 0
-5 0 0 0 0 0
-6 0 0 0 0 53
-7 0 0 0 0 2790110
-8 0 0 1 0 0
-11 0 0 0 0 0
-13 0 1 2 0 0 red:vlines3 Broadcast
7 2 0 0 0 1699890 Start Sync
2 3 0 0 0 1700208 end broadcast
7 3 0 0 0 1700501 Start Sync
8 1 0 0 0 1708895 End Sync
3 1 0 0 0 1709000 start compute
8 3 0 0 0 1709180 End Sync
8 5 0 0 0 1709181 End Sync
3 5 0 0 0 1709239 start compute
3 3 0 0 0 1709278 start compute
8 0 0 0 0 1709411 End Sync
3 0 0 0 0 1709473 start compute
8 2 0 0 0 1709699 End Sync
8 4 0 0 0 1709708 End Sync
3 4 0 0 0 1709766 start compute
3 2 0 0 0 1709797 start compute
4 1 0 0 0 1934145 end compute
5 1 0 0 0 1934205 start reduce
6 1 0 0 0 1935306 end reduce
1 1 0 0 0 1945553 start broadcast
4 5 0 0 0 1946806 end compute
5 5 0 0 0 1946857 start reduce
4 4 0 0 0 1947168 end compute
5 4 0 0 0 1947225 start reduce
6 5 0 0 0 1947704 end reduce
1 5 0 0 0 1947762 start broadcast
4 0 0 0 0 1949419 end compute
5 0 0 0 0 1949482 start reduce
6 4 0 0 0 1949956 end reduce
1 4 0 0 0 1950017 start broadcast
4 3 0 0 0 2239911 end compute
5 3 0 0 0 2239998 start reduce
4 2 0 0 0 2240880 end compute
5 2 0 0 0 2241224 start reduce
6 3 0 0 0 2241281 end reduce
1 3 0 0 0 2241381 start broadcast
6 2 0 0 0 2243722 end reduce
1 2 0 0 0 2243824 start broadcast
6 0 0 0 0 2244031 end reduce
1 0 0 0 0 2244100 start broadcast
2 4 0 0 0 2246069 end broadcast
7 4 0 0 0 2246125 Start Sync
2 0 0 0 0 2246269 end broadcast
7 0 0 0 0 2246330 Start Sync
2 5 0 0 0 2246613 end broadcast
7 5 0 0 0 2246673 Start Sync
2 1 0 0 0 2246933 end broadcast
7 1 0 0 0 2246982 Start Sync
2 2 0 0 0 2247202 end broadcast
7 2 0 0 0 2247303 Start Sync
2 3 0 0 0 2247635 end broadcast
7 3 0 0 0 2247727 Start Sync
8 2 0 0 0 2255094 End Sync
3 2 0 0 0 2255192 start compute
8 4 0 0 0 2255240 End Sync
3 4 0 0 0 2255299 start compute
8 0 0 0 0 2255301 End Sync
8 3 0 0 0 2255346 End Sync
3 0 0 0 0 2255361 start compute
3 3 0 0 0 2255444 start compute
8 5 0 0 0 2255444 End Sync
3 5 0 0 0 2255502 start compute
8 1 0 0 0 2255640 End Sync
3 1 0 0 0 2255690 start compute
4 1 0 0 0 2479980 end compute
5 1 0 0 0 2480038 start reduce
6 1 0 0 0 2481108 end reduce
4 4 0 0 0 2492765 end compute
5 4 0 0 0 2492822 start reduce
4 5 0 0 0 2493196 end compute
5 5 0 0 0 2493252 start reduce
4 0 0 0 0 2493833 end compute
5 0 0 0 0 2493898 start reduce
6 5 0 0 0 2494112 end reduce
6 4 0 0 0 2496339 end reduce
4 2 0 0 0 2785021 end compute
5 2 0 0 0 2785108 start reduce
4 3 0 0 0 2786543 end compute
5 3 0 0 0 2786634 start reduce
6 3 0 0 0 2787947 end reduce
6 2 0 0 0 2790013 end reduce
6 0 0 0 0 2790110 end reduce
