-1 0 0 0 0 0 Me
-2 0 0 392 0 0
-3 0 0 4 0 0
-4 0 0 1 0 0
-5 0 0 15720 0 0
-6 0 0 0 0 767
-7 0 0 0 0 32311654
-8 0 0 1 0 0
-11 0 0 0 0 0
-13 0 1 2 0 0 red:vlines3 Broadcast
4 2 0 0 0 13708213 end compute
5 2 0 0 0 13711287 start reduce
6 2 0 0 0 13714466 end reduce
7 2 0 0 0 13714640 Start Sync
6 0 0 0 0 13722929 end reduce
8 2 0 0 0 13723722 End Sync
3 2 0 0 0 13723895 start compute
7 0 0 0 0 13724804 Start Sync
8 3 0 0 0 13725919 End Sync
3 3 0 0 0 13726034 start compute
8 1 0 0 0 13727039 End Sync
3 1 0 0 0 13727223 start compute
8 0 0 0 0 13728947 End Sync
3 0 0 0 0 13729012 start compute
4 0 0 0 0 14155519 end compute
5 0 0 0 0 14217593 start reduce
4 3 0 0 0 14430219 end compute
5 3 0 0 0 14431837 start reduce
6 3 0 0 0 14433010 end reduce
7 3 0 0 0 14433113 Start Sync
4 1 0 0 0 15546865 end compute
5 1 0 0 0 15549282 start reduce
6 1 0 0 0 15550964 end reduce
7 1 0 0 0 15551144 Start Sync
4 2 0 0 0 15589582 end compute
5 2 0 0 0 15593379 start reduce
6 2 0 0 0 15596472 end reduce
7 2 0 0 0 15596646 Start Sync
8 2 0 0 0 15604367 End Sync
3 2 0 0 0 15604536 start compute
6 0 0 0 0 15604677 end reduce
7 0 0 0 0 15606545 Start Sync
8 3 0 0 0 15607931 End Sync
3 3 0 0 0 15608047 start compute
8 1 0 0 0 15609010 End Sync
3 1 0 0 0 15609193 start compute
8 0 0 0 0 15610643 End Sync
3 0 0 0 0 15610707 start compute
4 0 0 0 0 16029452 end compute
5 0 0 0 0 16098085 start reduce
4 3 0 0 0 16312739 end compute
5 3 0 0 0 16314413 start reduce
6 3 0 0 0 16315565 end reduce
7 3 0 0 0 16315671 Start Sync
4 1 0 0 0 17428570 end compute
5 1 0 0 0 17430945 start reduce
6 1 0 0 0 17432637 end reduce
7 1 0 0 0 17432816 Start Sync
4 2 0 0 0 17448561 end compute
5 2 0 0 0 17451069 start reduce
6 2 0 0 0 17455277 end reduce
7 2 0 0 0 17455459 Start Sync
6 0 0 0 0 17463214 end reduce
8 2 0 0 0 17464503 End Sync
3 2 0 0 0 17464678 start compute
7 0 0 0 0 17465084 Start Sync
8 3 0 0 0 17466528 End Sync
3 3 0 0 0 17466731 start compute
8 1 0 0 0 17467790 End Sync
3 1 0 0 0 17467974 start compute
8 0 0 0 0 17469153 End Sync
3 0 0 0 0 17469217 start compute
4 0 0 0 0 17935103 end compute
5 0 0 0 0 18100280 start reduce
4 3 0 0 0 18174647 end compute
5 3 0 0 0 18176294 start reduce
6 3 0 0 0 18177508 end reduce
7 3 0 0 0 18177612 Start Sync
4 1 0 0 0 19292430 end compute
5 1 0 0 0 19294915 start reduce
6 1 0 0 0 19296639 end reduce
7 1 0 0 0 19296821 Start Sync
4 2 0 0 0 19311886 end compute
5 2 0 0 0 19314517 start reduce
6 2 0 0 0 19317620 end reduce
7 2 0 0 0 19317794 Start Sync
6 0 0 0 0 19325299 end reduce
8 2 0 0 0 19325605 End Sync
3 2 0 0 0 19325773 start compute
7 0 0 0 0 19327301 Start Sync
8 3 0 0 0 19328822 End Sync
3 3 0 0 0 19328937 start compute
8 1 0 0 0 19330169 End Sync
3 1 0 0 0 19330353 start compute
8 0 0 0 0 19331417 End Sync
3 0 0 0 0 19331480 start compute
4 0 0 0 0 19757631 end compute
5 0 0 0 0 19815466 start reduce
4 3 0 0 0 20068980 end compute
5 3 0 0 0 20070608 start reduce
6 3 0 0 0 20071723 end reduce
4 1 0 0 0 21164065 end compute
5 1 0 0 0 21166778 start reduce
6 1 0 0 0 21168540 end reduce
4 2 0 0 0 21169545 end compute
5 2 0 0 0 21172105 start reduce
6 2 0 0 0 21175108 end reduce
6 0 0 0 0 21182553 end reduce
1 2 0 0 0 22010512 start broadcast
2 2 0 0 0 22013609 end broadcast
7 2 0 0 0 22013779 Start Sync
1 1 0 0 0 22015360 start broadcast
1 3 0 0 0 22016818 start broadcast
1 0 0 0 0 22016927 start broadcast
2 3 0 0 0 22017174 end broadcast
7 3 0 0 0 22017271 Start Sync
2 1 0 0 0 22017731 end broadcast
7 1 0 0 0 22017931 Start Sync
2 0 0 0 0 22019436 end broadcast
7 0 0 0 0 22019506 Start Sync
8 2 0 0 0 22021721 End Sync
3 2 0 0 0 22021987 start compute
8 1 0 0 0 22025097 End Sync
3 1 0 0 0 22025282 start compute
8 3 0 0 0 22025432 End Sync
3 3 0 0 0 22025541 start compute
8 0 0 0 0 22028837 End Sync
3 0 0 0 0 22028904 start compute
4 0 0 0 0 22432878 end compute
5 0 0 0 0 22447631 start reduce
4 3 0 0 0 22729954 end compute
5 3 0 0 0 22731591 start reduce
6 3 0 0 0 22732731 end reduce
7 3 0 0 0 22732835 Start Sync
4 1 0 0 0 23843885 end compute
5 1 0 0 0 23846326 start reduce
6 1 0 0 0 23847997 end reduce
7 1 0 0 0 23848175 Start Sync
4 2 0 0 0 23865296 end compute
5 2 0 0 0 23867802 start reduce
6 2 0 0 0 23870796 end reduce
7 2 0 0 0 23870969 Start Sync
6 0 0 0 0 23878099 end reduce
8 2 0 0 0 23878664 End Sync
3 2 0 0 0 23878833 start compute
7 0 0 0 0 23879952 Start Sync
8 3 0 0 0 23881817 End Sync
3 3 0 0 0 23881932 start compute
8 1 0 0 0 23883354 End Sync
3 1 0 0 0 23883536 start compute
8 0 0 0 0 23883878 End Sync
3 0 0 0 0 23883943 start compute
4 0 0 0 0 24326477 end compute
5 0 0 0 0 24394550 start reduce
4 3 0 0 0 24586042 end compute
5 3 0 0 0 24587866 start reduce
6 3 0 0 0 24589017 end reduce
7 3 0 0 0 24589120 Start Sync
4 1 0 0 0 25703120 end compute
5 1 0 0 0 25705658 start reduce
6 1 0 0 0 25707350 end reduce
7 1 0 0 0 25707529 Start Sync
4 2 0 0 0 25728401 end compute
5 2 0 0 0 25730994 start reduce
6 2 0 0 0 25734133 end reduce
7 2 0 0 0 25734306 Start Sync
6 0 0 0 0 25740962 end reduce
8 2 0 0 0 25742124 End Sync
3 2 0 0 0 25742290 start compute
7 0 0 0 0 25742829 Start Sync
8 3 0 0 0 25744731 End Sync
3 3 0 0 0 25744848 start compute
8 1 0 0 0 25746468 End Sync
3 1 0 0 0 25746653 start compute
8 0 0 0 0 25746916 End Sync
3 0 0 0 0 25746980 start compute
4 0 0 0 0 26217855 end compute
5 0 0 0 0 26293347 start reduce
4 3 0 0 0 26449050 end compute
5 3 0 0 0 26450712 start reduce
6 3 0 0 0 26451857 end reduce
7 3 0 0 0 26451960 Start Sync
4 1 0 0 0 27575717 end compute
5 1 0 0 0 27578148 start reduce
6 1 0 0 0 27579886 end reduce
7 1 0 0 0 27580068 Start Sync
4 2 0 0 0 27587910 end compute
5 2 0 0 0 27590382 start reduce
6 2 0 0 0 27594994 end reduce
7 2 0 0 0 27595177 Start Sync
6 0 0 0 0 27601556 end reduce
8 2 0 0 0 27602953 End Sync
3 2 0 0 0 27603122 start compute
7 0 0 0 0 27603432 Start Sync
8 3 0 0 0 27605767 End Sync
3 3 0 0 0 27605882 start compute
8 1 0 0 0 27607475 End Sync
8 0 0 0 0 27607657 End Sync
3 1 0 0 0 27607657 start compute
3 0 0 0 0 27607722 start compute
4 0 0 0 0 28093890 end compute
5 0 0 0 0 28179423 start reduce
4 3 0 0 0 28313405 end compute
5 3 0 0 0 28315052 start reduce
6 3 0 0 0 28316204 end reduce
7 3 0 0 0 28316308 Start Sync
4 1 0 0 0 29426579 end compute
5 1 0 0 0 29428931 start reduce
6 1 0 0 0 29430618 end reduce
